t,SC_ECEF_x_km,SC_ECEF_y_km,SC_ECEF_z_km,elevation_degree,illuminated_boolean,
2021.04.17 05:19:16,3698,-3243.74,4638.05,4.59375,30,
2021.04.17 05:21:25,3951.36,-2342.42,4960.28,-0.286197,30,
2021.04.17 05:24:13,4154.11,-1096.61,5219.76,-7.27784,30,
2021.04.17 05:28:02,4187.78,656.426,5267.61,-15.9732,30,
2021.04.17 05:33:14,3784.44,2951.49,4766.08,-26.9017,30,
2021.04.17 05:40:24,2481.29,5464.14,3130.94,-41.2048,30,
2021.04.17 05:50:26,-218.317,6767.13,-266.084,-60.644,30,
2021.04.17 06:04:50,-3613.51,3502.77,-4543.1,-85.0117,0,
2021.04.17 06:25:25,-2775.76,-5104.26,-3482.92,-50.8836,0,
2021.04.17 06:37:33,445.595,-6728,576.152,-26.5324,0,
2021.04.17 06:44:39,2339.66,-5614.04,2958.15,-10.5081,30,
2021.04.17 06:48:58,3252.59,-4277.72,4103.6,2.92866,30,
2021.04.17 06:51:20,3638.81,-3380.58,4586.93,16.5691,30,
2021.04.17 06:52:10,3752.8,-3042.57,4729.3,23.9682,30,
2021.04.17 06:52:26,3786.74,-2932.28,4771.66,26.2956,30,
2021.04.17 06:52:34,3803.25,-2876.78,4792.25,27.3821,30,
2021.04.17 06:52:39,3813.41,-2841.96,4804.92,28.0179,30,
2021.04.17 06:52:43,3821.44,-2814.05,4814.94,28.4394,30,
2021.04.17 06:52:46,3827.42,-2793.07,4822.39,28.7416,30,
2021.04.17 06:52:48,3831.38,-2779.07,4827.32,28.9704,30,
2021.04.17 06:52:51,3837.28,-2758.04,4834.68,29.1507,30,
2021.04.17 06:52:52,3839.24,-2751.03,4837.12,29.297,30,
2021.04.17 06:52:54,3843.14,-2736.98,4841.98,29.4188,30,
2021.04.17 06:52:55,3845.08,-2729.96,4844.41,29.5218,30,
2021.04.17 06:52:57,3848.95,-2715.89,4849.23,29.6105,30,
2021.04.17 06:52:58,3850.88,-2708.85,4851.63,29.6876,30,
2021.04.17 06:52:59,3852.8,-2701.81,4854.03,29.7553,30,
2021.04.17 06:53:00,3854.72,-2694.77,4856.42,29.8151,30,
2021.04.17 06:53:01,3856.63,-2687.72,4858.8,29.8683,30,
2021.04.17 06:53:02,3858.54,-2680.67,4861.18,29.9157,30,
2021.04.17 06:53:03,3860.44,-2673.61,4863.55,29.9579,30,
2021.04.17 06:53:04,3862.34,-2666.55,4865.92,29.9956,30,
2021.04.17 06:53:05,3864.24,-2659.49,4868.27,30.029,30,
2021.04.17 06:53:06,3866.12,-2652.43,4870.63,30.0584,30,
2021.04.17 06:53:07,3868.01,-2645.36,4872.97,30.0838,30,
2021.04.17 06:53:08,3869.88,-2638.29,4875.31,30.1053,30,
2021.04.17 06:53:09,3871.76,-2631.21,4877.65,30.1227,30,
2021.04.17 06:53:10,3873.63,-2624.13,4879.97,30.1361,30,
2021.04.17 06:53:11,3875.49,-2617.05,4882.29,30.1454,30,
2021.04.17 06:53:12,3877.35,-2609.96,4884.61,30.1507,30,
2021.04.17 06:53:13,3879.2,-2602.87,4886.92,30.1519,30,
2021.04.17 06:53:14,3881.05,-2595.78,4889.22,30.149,30,
2021.04.17 06:53:15,3882.89,-2588.69,4891.51,30.1421,30,
2021.04.17 06:53:16,3884.73,-2581.59,4893.8,30.1311,30,
2021.04.17 06:53:17,3886.56,-2574.48,4896.09,30.116,30,
2021.04.17 06:53:18,3888.39,-2567.38,4898.36,30.097,30,
2021.04.17 06:53:19,3890.22,-2560.27,4900.63,30.0739,30,
2021.04.17 06:53:20,3892.03,-2553.16,4902.9,30.0468,30,
2021.04.17 06:53:21,3893.85,-2546.04,4905.16,30.0158,30,
2021.04.17 06:53:22,3895.65,-2538.92,4907.41,29.9808,30,
2021.04.17 06:53:23,3897.46,-2531.8,4909.65,29.9418,30,
2021.04.17 06:53:24,3899.26,-2524.67,4911.89,29.8984,30,
2021.04.17 06:53:25,3901.05,-2517.55,4914.12,29.8502,30,
2021.04.17 06:53:26,3902.84,-2510.41,4916.35,29.7966,30,
2021.04.17 06:53:28,3906.4,-2496.14,4920.78,29.7369,30,
2021.04.17 06:53:29,3908.17,-2489,4922.99,29.6702,30,
2021.04.17 06:53:30,3909.94,-2481.85,4925.19,29.5953,30,
2021.04.17 06:53:31,3911.7,-2474.71,4927.39,29.5106,30,
2021.04.17 06:53:32,3913.46,-2467.55,4929.57,29.4142,30,
2021.04.17 06:53:34,3916.96,-2453.24,4933.93,29.3033,30,
2021.04.17 06:53:36,3920.44,-2438.92,4938.26,29.1743,30,
2021.04.17 06:53:37,3922.18,-2431.75,4940.42,29.0222,30,
2021.04.17 06:53:39,3925.63,-2417.41,4944.71,28.8401,30,
2021.04.17 06:53:41,3929.06,-2403.05,4948.98,28.6181,30,
2021.04.17 06:53:44,3934.16,-2381.5,4955.33,28.3416,30,
2021.04.17 06:53:47,3939.22,-2359.91,4961.63,27.9883,30,
2021.04.17 06:53:51,3945.9,-2331.09,4969.93,27.5235,30,
2021.04.17 06:53:56,3954.14,-2295,4980.17,26.8907,30,
2021.04.17 06:54:02,3963.85,-2251.58,4992.24,25.9949,30,
2021.04.17 06:54:11,3978.07,-2186.27,5009.92,24.6726,30,
2021.04.17 06:54:25,3999.37,-2084.23,5036.37,22.6444,30,
2021.04.17 06:54:46,4029.43,-1930.18,5073.65,19.4749,30,
2021.04.17 06:55:21,4074.44,-1671.05,5129.37,14.6771,30,
2021.04.17 06:56:22,4137.5,-1213.37,5207.05,8.16184,30,
2021.04.17 06:58:05,4198.94,-428.542,5281.38,0.513314,30,
2021.04.17 07:00:46,4180.3,805.874,5252.92,-7.8587,30,
2021.04.17 07:04:40,3906.75,2541.37,4901.03,-17.4017,30,
2021.04.17 07:10:07,3074.47,4643.95,3843.27,-29.1251,30,
2021.04.17 07:17:43,1252.35,6475.21,1539.52,-44.4325,30,
2021.04.17 07:28:26,-1742.13,6159.9,-2229,-65.3809,30,
2021.04.17 07:43:59,-4202.03,580.866,-5287.83,-84.4966,0,
2021.04.17 08:04:25,-1149.75,-6526.54,-1386.91,-44.8949,0,
2021.04.17 08:15:14,1867.63,-6039.02,2407.63,-22.7977,30,
2021.04.17 08:21:39,3287.9,-4178.19,4177.16,-7.56416,30,
2021.04.17 08:25:30,3856.25,-2655.36,4876.83,6.54299,30,
2021.04.17 08:27:24,4041.42,-1829.96,5101.16,22.8889,30,
2021.04.17 08:27:44,4067.02,-1681.6,5131.79,28.3603,30,
2021.04.17 08:27:47,4070.68,-1659.27,5136.16,29.3567,30,
2021.04.17 08:27:49,4073.09,-1644.38,5139.03,29.8611,30,
2021.04.17 08:27:50,4074.29,-1636.92,5140.46,30.2178,30,
2021.04.17 08:27:51,4075.48,-1629.47,5141.89,30.5623,30,
2021.04.17 08:27:52,4076.67,-1622.01,5143.3,30.9122,30,
2021.04.17 08:27:53,4077.86,-1614.56,5144.71,31.2674,30,
2021.04.17 08:27:54,4079.03,-1607.09,5146.11,31.6283,30,
2021.04.17 08:27:55,4080.21,-1599.63,5147.51,31.9947,30,
2021.04.17 08:27:56,4081.37,-1592.17,5148.9,32.367,30,
2021.04.17 08:27:57,4082.54,-1584.7,5150.28,32.7452,30,
2021.04.17 08:27:58,4083.69,-1577.23,5151.66,33.1294,30,
2021.04.17 08:27:59,4084.85,-1569.76,5153.03,33.5199,30,
2021.04.17 08:28:00,4085.99,-1562.29,5154.39,33.9166,30,
2021.04.17 08:28:01,4087.13,-1554.82,5155.74,34.3198,30,
2021.04.17 08:28:02,4088.27,-1547.34,5157.09,34.7295,30,
2021.04.17 08:28:03,4089.4,-1539.86,5158.44,35.1461,30,
2021.04.17 08:28:04,4090.52,-1532.38,5159.77,35.5694,30,
2021.04.17 08:28:05,4091.64,-1524.9,5161.1,35.9999,30,
2021.04.17 08:28:06,4092.76,-1517.41,5162.42,36.4375,30,
2021.04.17 08:28:07,4093.87,-1509.93,5163.74,36.8824,30,
2021.04.17 08:28:08,4094.97,-1502.44,5165.05,37.3348,30,
2021.04.17 08:28:09,4096.07,-1494.95,5166.35,37.7949,30,
2021.04.17 08:28:10,4097.17,-1487.46,5167.65,38.2627,30,
2021.04.17 08:28:11,4098.25,-1479.96,5168.94,38.7386,30,
2021.04.17 08:28:12,4099.34,-1472.47,5170.22,39.2226,30,
